timestep,weekday,yearday,holiday_-2,holiday_-1,holiday_0,holiday_+1,holiday_+2,resident_pop,tourist_pop,temp_min,temp_max,prec_prob,wind_speed
2197.0,4.0,365.0,0.0,0.0,0.0,1.0,1.0,1223954.9945652173,84181.3870967742,3.0,18.0,1.0,2.0
2198.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,1223980.0,83167.0,4.0,17.0,0.0,1.0
2199.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,1224025.8011049724,85311.3870967742,4.0,18.0,1.0,2.0
2200.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1224071.6022099447,87455.7741935484,10.0,19.0,0.0,0.0
2201.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,1224117.403314917,89600.16129032258,7.0,21.0,0.0,1.0
2202.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,1224163.2044198895,91744.54838709677,8.0,18.0,0.0,2.0
2203.0,3.0,6.0,0.0,0.0,1.0,0.0,1.0,1224209.0055248619,93888.93548387097,7.0,18.0,0.0,1.0
2204.0,4.0,7.0,0.0,1.0,0.0,1.0,1.0,1224254.8066298342,96033.32258064517,8.0,19.0,0.0,1.0
2205.0,5.0,8.0,1.0,0.0,1.0,1.0,0.0,1224300.6077348066,98177.70967741936,8.0,18.0,0.0,1.0
2206.0,6.0,9.0,0.0,1.0,1.0,0.0,0.0,1224346.408839779,100322.09677419355,11.0,18.0,0.0,2.0
2207.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,1224392.2099447513,102466.48387096774,11.0,19.0,0.0,2.0
2208.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,1224438.0110497237,104610.87096774194,11.0,15.0,1.0,2.0
2209.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,1224483.812154696,106755.25806451612,6.0,16.0,1.0,1.0
2210.0,3.0,13.0,0.0,0.0,0.0,0.0,1.0,1224529.6132596685,108899.64516129033,2.0,17.0,1.0,0.0
2211.0,4.0,14.0,0.0,0.0,0.0,1.0,1.0,1224575.4143646408,111044.03225806452,2.0,18.0,0.0,2.0
2212.0,5.0,15.0,0.0,0.0,1.0,1.0,0.0,1224621.2154696132,113188.41935483871,5.0,18.0,0.0,1.0
2213.0,6.0,16.0,0.0,1.0,1.0,0.0,0.0,1224667.0165745856,115332.80645161291,2.0,18.0,0.0,1.0
2214.0,0.0,17.0,1.0,1.0,0.0,0.0,0.0,1224712.817679558,117477.19354838709,4.0,18.0,0.0,1.0
2215.0,1.0,18.0,1.0,0.0,0.0,0.0,1.0,1224758.6187845303,119621.5806451613,5.0,18.0,0.0,1.0
2216.0,2.0,19.0,0.0,0.0,0.0,1.0,0.0,1224804.4198895027,121765.96774193548,7.0,16.0,2.0,3.0
2217.0,3.0,20.0,0.0,0.0,1.0,0.0,1.0,1224850.220994475,123910.35483870968,4.0,17.0,1.0,2.0
2218.0,4.0,21.0,0.0,1.0,0.0,1.0,1.0,1224896.0220994474,126054.74193548388,10.0,20.0,0.0,2.0
2219.0,5.0,22.0,1.0,0.0,1.0,1.0,0.0,1224941.8232044198,128199.12903225806,10.0,20.0,0.0,2.0
2220.0,6.0,23.0,0.0,1.0,1.0,0.0,0.0,1224987.6243093922,130343.51612903226,13.0,19.0,2.0,3.0
2221.0,0.0,24.0,1.0,1.0,0.0,0.0,0.0,1225033.4254143646,132487.90322580645,16.0,19.0,1.0,4.0
2222.0,1.0,25.0,1.0,0.0,0.0,0.0,0.0,1225079.226519337,134632.29032258067,11.0,15.0,0.0,3.0
2223.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,1225125.0276243093,136776.67741935485,9.0,18.0,0.0,4.0
2224.0,3.0,27.0,0.0,0.0,0.0,0.0,1.0,1225170.8287292817,138921.06451612903,12.0,21.0,3.0,2.0
