day,total_morning,total_afternoon,total_night,low_morning,low_afternoon,low_night,medium_morning,medium_afternoon,medium_night,high_morning,high_afternoon,high_night,total_low,total_medium,total_high
2198,129,118,80,75,85,57,31,19,15,23,14,8,217,65,45
2199,157,130,82,88,85,52,41,31,22,28,14,8,225,94,50
2200,217,121,106,122,87,77,58,24,16,37,10,13,286,98,60
2201,180,121,82,101,74,56,55,24,21,24,23,5,231,100,52
2202,176,100,49,110,60,31,37,24,13,29,16,5,201,74,50
2203,159,90,70,99,67,50,42,16,16,18,7,4,216,74,29
2204,174,115,65,92,78,47,46,26,11,36,11,7,217,83,54
2205,149,97,82,84,66,60,42,20,15,23,11,7,210,77,41
2206,154,93,64,104,67,46,35,14,11,15,12,7,217,60,34
2207,180,86,61,86,56,42,57,17,14,37,13,5,184,88,55
2208,166,113,60,98,72,45,41,23,9,27,18,6,215,73,51
2209,150,97,68,89,66,49,32,22,11,29,9,8,204,65,46
2210,159,119,59,93,79,37,50,21,12,16,19,10,209,83,45
2211,150,100,65,99,69,45,27,23,12,24,8,8,213,62,40
2212,140,91,47,71,57,28,47,19,11,22,15,8,156,77,45
2213,115,95,61,61,62,40,37,24,13,17,9,8,163,74,34
2214,180,126,45,114,79,30,36,30,13,30,17,2,223,79,49
2215,169,114,61,97,82,36,52,24,16,20,8,9,215,92,37
2216,158,95,51,85,65,31,40,20,11,33,10,9,181,71,52
2217,142,89,51,78,57,37,38,15,8,26,17,6,172,61,49
2218,167,90,43,87,52,29,41,28,9,39,10,5,168,78,54
2219,122,78,56,74,51,45,28,20,8,20,7,3,170,56,30
2220,139,80,60,87,54,38,29,20,12,23,6,10,179,61,39
2221,189,133,52,95,82,37,58,30,8,36,21,7,214,96,64
2222,165,101,51,93,71,34,43,19,12,29,11,5,198,74,45
2223,167,106,44,88,60,31,45,23,10,34,23,3,179,78,60
2224,159,118,48,89,83,32,36,21,11,34,14,5,204,68,53
2225,165,86,79,84,43,59,48,25,11,33,18,9,186,84,60
2226,146,83,55,77,54,37,43,22,8,26,7,10,168,73,43
2227,139,105,54,75,69,36,43,26,10,21,10,8,180,79,39
2228,184,95,39,100,63,24,53,20,11,31,12,4,187,84,47
2229,165,99,68,89,64,53,42,20,8,34,15,7,206,70,56
2230,137,121,57,71,72,44,36,36,10,30,13,3,187,82,46
2231,152,100,50,87,64,31,39,26,10,26,10,9,182,75,45
2232,160,82,55,88,45,41,47,24,7,25,13,7,174,78,45
2233,138,113,57,78,74,35,34,31,12,26,8,10,187,77,44
2234,134,112,62,71,73,42,46,24,13,17,15,7,186,83,39
2235,190,138,56,99,93,31,53,30,18,38,15,7,223,101,60
2236,156,97,68,90,64,45,47,21,14,19,12,9,199,82,40
2237,148,118,41,83,73,27,44,30,7,21,15,7,183,81,43
2238,166,114,61,93,75,45,51,28,11,22,11,5,213,90,38
2239,180,124,51,93,78,36,51,25,6,36,21,9,207,82,66
2240,124,82,64,66,58,47,37,16,11,21,8,6,171,64,35
2241,123,92,61,78,57,42,25,17,13,20,18,6,177,55,44
2242,176,102,62,94,63,41,46,22,15,36,17,6,198,83,59
2243,163,135,49,78,78,24,47,37,17,38,20,8,180,101,66
2244,183,117,63,97,66,50,57,33,9,29,18,4,213,99,51
2245,196,107,69,103,65,47,60,28,15,33,14,7,215,103,54
2246,179,104,48,102,61,38,51,24,6,26,19,4,201,81,49
2247,137,82,51,80,55,30,29,20,14,28,7,7,165,63,42
2248,145,87,74,87,51,46,43,24,16,15,12,12,184,83,39
